192 frames. Change = mean |r|+|g|+|b| difference from the previous frame (0-765); bg = edge strips only.
frame  change  bg-chg  background rgb        noise  book left-right  top-bottom  width height  mark
   68    5.44    1.84  244.4 239.2 235.9   2.54    354-1062    108-1064    708    956     0  =========
   69    4.32    0.08  244.4 239.3 235.9   2.56    354-1100    116-1064    746    948     0  =======
   70    4.37    0.13  244.4 239.2 235.9   2.56    354-1110    118-1064    756    946     0  =======
   71    4.11    0.24  244.4 239.3 235.9   2.59    354-1118    120-1064    764    944     0  =======
   72    4.29    0.12  244.4 239.3 235.9   2.57    354-1132    120-1062    778    942     0  =======
   73    4.23    0.13  244.4 239.2 235.9   2.60    354-1150    118-1062    796    944     0  =======
   74    3.89    0.14  244.3 239.2 235.9   2.62    352-1166    118-1066    814    948     0  ======
   75    3.73    0.21  244.3 239.2 235.9   2.63    352-1174    118-1066    822    948     0  ======
   76    4.09    0.41  244.2 239.2 235.9   2.68    350-1206    118-1064    856    946     0  =======
   77    3.48    0.04  244.2 239.2 235.9   2.69    350-1220    118-1066    870    948     0  ======
   78    3.36    0.07  244.2 239.2 235.9   2.68    350-1230    116-1068    880    952     0  =====
   79    3.29    0.11  244.2 239.2 235.9   2.70    350-1230    118-1068    880    950     0  =====
   80    3.37    0.05  244.2 239.2 235.9   2.69    350-1254    118-1070    904    952     0  =====
   81    3.52    0.03  244.2 239.2 235.9   2.70    350-1274    118-1072    924    954     0  ======
   82    3.66    0.08  244.1 239.2 235.9   2.71    350-1278    116-1072    928    956     0  ======
   83    5.98    0.55  244.0 239.1 235.8   2.87    356-1334    116-1060    978    944     0  ==========
   84       0       0  244.0 239.1 235.8   2.87    356-1334    116-1060    978    944     0  
   85       0       0  244.0 239.1 235.8   2.87    356-1334    116-1060    978    944     0  
   86    4.29    0.03  244.1 239.1 235.8   2.87    350-1350    118-1074   1000    956     0  =======
   87    4.33    0.05  244.1 239.1 235.8   2.88    352-1352    118-1072   1000    954     0  =======
   88    4.61    0.05  244.1 239.1 235.8   2.88    352-1382    116-1074   1030    958     0  =======
   89    4.67    0.13  244.0 239.1 235.8   2.83    356-1358    118-1064   1002    946     0  =======
   90    4.11    0.11  244.0 239.1 235.8   2.80    354-1358    118-1064   1004    946     0  =======
   91    3.83    0.08  244.0 239.1 235.8   2.83    354-1374    118-1066   1020    948     0  ======
   92    4.22    0.41  243.9 239.0 235.7   2.76    354-1422    116-1070   1068    954     0  =======
   93    3.55    0.11  243.9 239.0 235.7   2.73    354-1422    116-1068   1068    952     0  ======
   94    3.16    0.04  243.9 239.0 235.6   2.72    354-1432    118-1070   1078    952     0  =====
   95    2.98    0.05  243.8 239.0 235.6   2.71    354-1440    116-1064   1086    948     0  =====
   96    2.79    0.09  243.8 239.0 235.6   2.71    354-1448    116-1070   1094    954     0  ====
   97     2.8     0.1  243.8 239.0 235.6   2.67    354-1462    116-1064   1108    948     0  ====
   98    2.47    0.05  243.8 239.0 235.6   2.65    354-1474    116-1066   1120    950     0  ====
   99    2.33    0.07  243.8 239.0 235.6   2.64    354-1486    116-1064   1132    948     0  ====
  100    2.81    0.48  243.6 238.9 235.5   2.53    352-1532    114-1068   1180    954     0  ====
  101    2.27    0.14  243.7 238.9 235.5   2.51    352-1534    122-1064   1182    942     0  ====
  102    1.88    0.04  243.6 238.9 235.5   2.52    352-1550    122-1062   1198    940     0  ===
  103    1.75    0.04  243.7 238.9 235.5   2.53    352-1556    122-1060   1204    938     0  ===
  104    1.73    0.06  243.6 238.9 235.5   2.53    352-1562    120-1066   1210    946     0  ===
  105    1.85    0.14  243.6 238.9 235.4   2.52    352-1568    122-1058   1216    936     0  ===
  106    1.65    0.12  243.6 238.9 235.4   2.53    352-1580    122-1056   1228    934     0  ===
  107    1.62     0.1  243.6 238.9 235.4   2.49    352-1584    122-1054   1232    932     0  ===
  108    1.88    0.27  243.6 238.9 235.4   2.48    352-1612    122-1056   1260    934     0  ===
  109    1.67    0.11  243.6 238.9 235.4   2.52    352-1618    120-1056   1266    936     0  ===
  110    1.37    0.03  243.6 238.9 235.4   2.52    352-1630    120-1058   1278    938     0  ==
  111    1.29    0.03  243.6 238.9 235.4   2.53    352-1626    118-1058   1274    940     0  ==
  112    1.32    0.06  243.6 238.9 235.4   2.54    350-1626    118-1064   1276    946     0  ==
  113     1.4    0.11  243.6 238.9 235.4   2.53    350-1630    116-1068   1280    952     0  ==
  114    1.15    0.07  243.6 238.9 235.4   2.53    350-1642    110-1068   1292    958     0  ==
  115    1.25    0.08  243.6 238.9 235.4   2.54    350-1648    110-1078   1298    968     0  ==
  116    1.62    0.28  243.5 238.9 235.4   2.45    350-1660    108-1078   1310    970     0  ===
  117    1.35    0.14  243.5 238.9 235.4   2.48    350-1662    108-1078   1312    970     0  ==
  118    1.11    0.03  243.5 238.9 235.4   2.47    350-1662    106-1078   1312    972     0  ==
  119    1.01    0.04  243.5 238.9 235.3   2.49    350-1662    104-1078   1312    974     0  ==
  120    1.12    0.06  243.5 238.9 235.3   2.49    350-1662    104-1078   1312    974     0  ==
  121    1.47    0.15  243.5 238.9 235.3   2.51    350-1662    104-1078   1312    974     0  ==
  122    1.14    0.08  243.5 238.9 235.3   2.54    350-1662    102-1078   1312    976     0  ==
  123    1.24    0.06  243.5 238.9 235.3   2.55    350-1662    102-1078   1312    976     0  ==
  124    1.58    0.31  243.5 238.9 235.2   2.65    348-1662    100-1078   1314    978     0  ===
  125     1.3    0.15  243.5 238.8 235.2   2.68    348-1664    102-1078   1316    976     0  ==
  126     1.1    0.05  243.5 238.8 235.2   2.67    348-1664    102-1078   1316    976     0  ==
  127    0.83    0.03  243.5 238.8 235.2   2.66    348-1664    104-1078   1316    974     0  =
  128     0.9    0.06  243.5 238.8 235.2   2.68    348-1664    106-1078   1316    972     0  =
  129    1.01     0.1  243.5 238.8 235.2   2.71    348-1664    112-1078   1316    966     0  ==
  130    0.81    0.09  243.5 238.8 235.2   2.71    348-1664    174-1078   1316    904     0  =
  131    0.86    0.09  243.5 238.8 235.2   2.77    348-1664    352-1078   1316    726     0  =
  132    3.01    1.32  243.3 238.9 235.4   2.75    348-1666    344-1074   1318    730     0  =====
  133    0.87    0.07  243.3 238.9 235.5   2.76    348-1666    368-1072   1318    704     0  =
  134    0.83    0.02  243.3 238.9 235.4   2.77    348-1666    416-1072   1318    656     0  =
  135    0.71    0.05  243.3 238.9 235.5   2.77    348-1666    424-1070   1318    646     0  =
  136    0.65    0.05  243.3 238.9 235.5   2.77    348-1666    440-1068   1318    628     0  =
  137    1.04    0.11  243.3 238.9 235.5   2.78    346-1666    524-1066   1320    542     0  ==
  138    0.54     0.1  243.3 238.9 235.5   2.82    346-1666    560-1066   1320    506     0  =
  139    0.74    0.13  243.3 238.9 235.4   2.87    346-1666    544-1062   1320    518     0  =
  140    1.51    0.53  243.1 239.0 235.5   2.76    346-1664    576-1058   1318    482     0  ==
  141    0.82    0.15  243.2 239.0 235.6   2.76    346-1654    624-1052   1308    428     0  =
  142    0.64    0.04  243.1 239.0 235.6   2.77    344-1650    624-1050   1306    426     0  =
  143     0.6    0.06  243.1 239.0 235.6   2.75    346-1644    624-1046   1298    422     0  =
  144    0.57     0.1  243.1 239.0 235.6   2.75    346-1642    624-1042   1296    418     0  =
  145    0.63    0.16  243.1 239.0 235.6   2.82    346-1642    624-1040   1296    416     0  =
  146    0.45    0.09  243.1 239.0 235.6   2.82    346-1636    632-1036   1290    404     0  =
  147    0.52    0.15  243.1 239.0 235.6   2.83    344-1630    632-1036   1286    404     0  =
  148    1.05    0.39  243.0 239.0 235.6   2.82    344-1620    104-1030   1276    926     0  ==
  149    0.55    0.12  243.0 239.0 235.7   2.85    344-1614    106-1030   1270    924     0  =
  150    0.36    0.06  243.0 239.0 235.7   2.84    344-1610    106-1026   1266    920     0  =
  151    0.38    0.07  243.0 239.0 235.7   2.83    344-1606    106-1026   1262    920     0  =
  152     5.7     1.1  242.8 239.1 236.0   3.19    342-1574    590-1022   1232    432     0  =========
  153    6.13    1.17  242.7 239.1 236.4   3.65    338-1572    120-1040   1234    920     0  ==========
  154    5.33    0.93  242.5 239.2 236.7   4.16    336-1566    110-1042   1230    932     0  =========
  155    4.14    1.05  242.4 239.3 236.9   4.76    330-1560    108-1078   1230    970     0  =======
  156   18.78     3.7  242.9 239.0 235.7   2.91    344-1580    108-1022   1236    914     0  ==============================
  157    0.56    0.13  243.0 239.0 235.7   2.90    344-1576    108-1022   1232    914     0  =
  158    0.39    0.09  243.0 239.0 235.7   2.89    344-1572    108-1020   1228    912     0  =
  159    0.38     0.1  243.0 239.0 235.7   2.90    344-1568    108-1022   1224    914     0  =
  160    0.53    0.11  243.0 239.0 235.7   2.88    344-1564    110-1020   1220    910     0  =
  161     0.6    0.21  243.0 239.0 235.7   2.90    344-1560    566-1020   1216    454     0  =
  162    0.39    0.09  243.0 239.0 235.7   2.90    344-1556    112-1020   1212    908     0  =
  163    0.52    0.18  243.0 239.0 235.7   2.94    344-1552    576-1022   1208    446     0  =
  164    1.16     0.4  243.0 239.0 235.6   2.85    342-1548    592-1022   1206    430     0  ==
  165    0.53    0.16  243.0 239.0 235.6   2.88    342-1544    560-1022   1202    462     0  =
  166    0.25    0.09  243.0 239.0 235.6   2.85    342-1544    560-1022   1202    462     0  
  167    0.15     0.1  243.0 239.0 235.6   2.90    342-1544    560-1022   1202    462     0  
  168    0.24     0.1  243.0 239.0 235.6   2.88    342-1544    544-1022   1202    478     0  
  169    0.36    0.19  243.0 238.9 235.6   2.91    342-1544    494-1024   1202    530     0  =
  170    0.23    0.12  243.0 239.0 235.6   2.88    342-1544    494-1024   1202    530     0  
  171    0.33    0.19  243.0 239.0 235.5   2.91    342-1544    494-1024   1202    530     0  =
  172    0.95    0.53  243.0 239.0 235.4   2.90    342-1544    492-1026   1202    534     0  ==
  173    0.47     0.3  243.1 239.0 235.3   2.86    342-1544    492-1024   1202    532     0  =
  174    0.39    0.19  243.1 239.0 235.3   2.77    346-1544    488-1022   1198    534     0  =
  175    0.38    0.23  243.1 239.0 235.3   2.69    348-1544    490-1022   1196    532     0  =
  176    0.45     0.3  243.1 239.1 235.4   2.40    350-1544    488-1022   1194    534     0  =
  177    0.74    0.36  243.3 239.1 235.5   1.91    356-1542    448-1012   1186    564     0  =
  178    0.44    0.24  243.3 239.1 235.5   1.66    358-1542    448-1010   1184    562     0  =
  179    0.47    0.27  243.3 239.1 235.4   1.69    362-1542    448-1008   1180    560     0  =
  180    1.03    0.79  243.2 239.2 235.3   1.70    364-1542    488-1006   1178    518     0  ==
  181    0.83    0.37  243.3 239.2 235.3   1.69    370-1542    488-1002   1172    514     0  =
  182    0.45    0.21  243.3 239.2 235.4   1.56    370-1542    490-1000   1172    510     0  =
  183    8.68     2.6  243.3 239.5 236.1   2.04    376-1542    116-1078   1166    962     0  ==============
  184    0.66    0.34  243.3 239.4 236.1   1.98    376-1542    114-1078   1166    964     0  =
  185    0.44    0.26  243.4 239.4 236.1   2.02    376-1542    114-1078   1166    964     0  =
  186    0.49    0.38  243.4 239.5 236.2   2.16    376-1542    114-974    1166    860     0  =
  187    0.45     0.3  243.4 239.5 236.1   2.16    376-1542    114-1078   1166    964     0  =
  188    7.45    2.42  243.3 239.2 236.2   0.78    380-1540    350-984    1160    634     0  ============
  189    0.34    0.08  243.3 239.2 236.2   0.80    380-1540    350-980    1160    630     0  =
  190    0.23    0.03  243.3 239.2 236.2   0.79    380-1540    350-972    1160    622     0  
  191    0.32    0.03  243.3 239.2 236.2   0.79    380-1540    348-972    1160    624     0  =

Background r 242.4..245.1, g 238.8..242, b 235.2..238.9; corners (grey level) TL 239..242.6 TR 238.6..241.1 BL 235.3..241 BR 239.3..240.9
Book left 244..380, right 1024..1666, top 90..632, bottom 972..1078
Flags:
  4: almost no change from 3 (0 vs ~0.20 around it), a repeated frame?
  83: jump from 82 (5.98 vs ~1.83 around it)
  84: almost no change from 83 (0 vs ~2.99 around it), a repeated frame?
  85: almost no change from 84 (0 vs ~2.15 around it), a repeated frame?
  132: jump from 131 (3.01 vs ~0.86 around it)
  151: almost no change from 150 (0.38 vs ~3.03 around it), a repeated frame?
  156: jump from 155 (18.78 vs ~2.35 around it)
  156: the background itself changed (3.7)
  157: almost no change from 156 (0.56 vs ~9.59 around it), a repeated frame?
  164: jump from 163 (1.16 vs ~0.53 around it)
  182: almost no change from 181 (0.45 vs ~4.75 around it), a repeated frame?
  183: jump from 182 (8.68 vs ~0.56 around it)
  184: almost no change from 183 (0.66 vs ~4.56 around it), a repeated frame?
  187: almost no change from 186 (0.45 vs ~3.97 around it), a repeated frame?
  188: jump from 187 (7.45 vs ~0.40 around it)
  189: almost no change from 188 (0.34 vs ~3.84 around it), a repeated frame?
Saved C:\Users\Waqar Ahmed\Desktop\Claude\Planning\videos\light-frames\sheet-every-8th.png (1616x916, 25 frames, 5 across)
Saved C:\Users\Waqar Ahmed\Desktop\Claude\Planning\videos\light-frames\sheet-all.png (1964x1500, 192 frames, 12 across)
